DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Tirol,2014,5061.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Tirol,2015,5004.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Tirol,2016,5014.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Tirol,2017,5051.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Tirol,2018,5042.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Tirol,2019,5031.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Tirol,2020,5012.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Tirol,2021,4994.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Tirol,2022,4742.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Vorarlberg,2013,2221.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Vorarlberg,2014,2224.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Vorarlberg,2015,2217.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Vorarlberg,2016,2202.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Vorarlberg,2017,2197.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Vorarlberg,2018,2113.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Vorarlberg,2019,2095.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Vorarlberg,2020,2082.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Vorarlberg,2021,2138.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Vorarlberg,2022,2123.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Belgium,2013,66148.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Belgium,2014,65590.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Belgium,2015,65753.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Belgium,2016,65314.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Belgium,2017,64423.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Belgium,2018,64248.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Belgium,2019,63962,bd
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Belgium,2020,63847,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Belgium,2021,63634,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Belgium,2022,63572,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2013,8554.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2014,8419.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2015,8773.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2016,8718.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2017,8612.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2018,8612.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2019,8611,bd
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2020,8621,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2021,8619,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,2022,8617,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Antwerpen,2013,10562.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Antwerpen,2014,10481.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Antwerpen,2015,10483.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Antwerpen,2016,10461.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Antwerpen,2017,10332.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Antwerpen,2018,10274.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Antwerpen,2019,10217,bd
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Antwerpen,2020,10202,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Antwerpen,2021,10166,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Antwerpen,2022,10145,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Limburg (BE),2013,4238.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Limburg (BE),2014,4249.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Limburg (BE),2015,4252.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Limburg (BE),2016,4247.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Limburg (BE),2017,4226.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Limburg (BE),2018,4226.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Limburg (BE),2019,4226,bd
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Limburg (BE),2020,4226,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Limburg (BE),2021,4212,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Limburg (BE),2022,4212,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Oost-Vlaanderen,2013,9285.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Oost-Vlaanderen,2014,9274.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Oost-Vlaanderen,2015,9225.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Oost-Vlaanderen,2016,9197.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Oost-Vlaanderen,2017,9141.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Oost-Vlaanderen,2018,9125.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Oost-Vlaanderen,2019,9104,bd
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Oost-Vlaanderen,2020,9072,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Oost-Vlaanderen,2021,9027,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Oost-Vlaanderen,2022,9016,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Vlaams-Brabant,2013,4930.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Vlaams-Brabant,2014,4926.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Vlaams-Brabant,2015,4854.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Vlaams-Brabant,2016,4844.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Vlaams-Brabant,2017,4823.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Vlaams-Brabant,2018,4844.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Vlaams-Brabant,2019,4639,bd
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Vlaams-Brabant,2020,4631,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Vlaams-Brabant,2021,4599,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Vlaams-Brabant,2022,4598,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. West-Vlaanderen,2013,8179.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. West-Vlaanderen,2014,8167.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. West-Vlaanderen,2015,8181.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. West-Vlaanderen,2016,8175.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. West-Vlaanderen,2017,8138.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. West-Vlaanderen,2018,8054.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. West-Vlaanderen,2019,7897,bd
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. West-Vlaanderen,2020,7885,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. West-Vlaanderen,2021,7852,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. West-Vlaanderen,2022,7836,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Brabant wallon,2013,1322.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Brabant wallon,2014,1017.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Brabant wallon,2015,1017.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Brabant wallon,2016,1007.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Brabant wallon,2017,948.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Brabant wallon,2018,946.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Brabant wallon,2019,956,bd
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Brabant wallon,2020,950,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Brabant wallon,2021,934,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Brabant wallon,2022,934,d
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Hainaut,2013,8587.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Hainaut,2014,8572.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Hainaut,2015,8559.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Hainaut,2016,8402.00,
ESTAT:HLTH_RS_BDSRG2(1.0),03/09/24 23:00:00,Annual,Number,Prov. Hainaut,2017,8162.00,
